U,N,loglik,Nabf,Nparam,Nrep_per_param,prop,alpha,iota,R0,amplitude,cohort,gamma,sigma,mu,sigmaSE,rho,psi,g,notes
10,208,-8702.54555496857,15,250,35000,0.8,1,0,22.9673605813208,0.520900154438252,0,55.1062872145851,42.4822565536655,0.02,0.150836167986485,0.5,0.173441468755153,800,sim_study_2
10,208,-8687.33400010944,15,250,35000,0.8,1,0,25.973704375023,0.478071089506673,0,49.6704532324614,51.1536449208245,0.02,0.132998687782507,0.5,0.188136827441772,500,sim_study_2
10,208,-8672.26304352962,15,250,35000,0.8,1,0,25.7097268080925,0.488841552064369,0,51.2485450815869,55.9200922520102,0.02,0.123340605871526,0.5,0.179561606566591,300,sim_study_2
10,208,-8697.55323824628,15,250,35000,0.8,1,0,21.430626304474,0.487358050809411,0,53.2519753719269,50.0399158982836,0.02,0.13808856534961,0.5,0.171115149246801,1100,sim_study_2
10,208,-8669.19333982442,15,250,35000,0.8,1,0,31.8602971879018,0.528214273231296,0,54.5927066435939,50.2021881987097,0.02,0.115782215068854,0.5,0.188796438238655,200,sim_study_2
10,208,-8696.37218459314,15,250,35000,0.8,1,0,27.5367790997258,0.54012534995353,0,53.158533018877,44.5105425099588,0.02,0.14575948477061,0.5,0.168023471299347,900,sim_study_2
10,208,-8667.01877982945,15,250,35000,0.8,1,0,30.2406803643522,0.524227629632875,0,55.7845391230008,43.0275974304444,0.02,0.135299169631791,0.5,0.175577905581678,300,sim_study_2
10,208,-8668.30177917414,15,250,35000,0.8,1,0,32.0803953935476,0.518238740631201,0,46.0044698153551,58.1808976243319,0.02,0.124338629090971,0.5,0.168063150846782,200,sim_study_2
10,208,-8678.5423344714,15,250,35000,0.8,1,0,22.0748590723595,0.518678514765757,0,56.0585967047283,54.3399343747465,0.02,0.118794656232682,0.5,0.165622068042803,700,sim_study_2
10,208,-8671.40936290776,15,250,35000,0.8,1,0,27.949472432794,0.526860822999876,0,46.9603712717821,54.0057187988077,0.02,0.130379962264479,0.5,0.173301133010153,300,sim_study_2
10,208,-8677.44575400753,15,250,35000,0.8,1,0,24.9529298360643,0.541263249159893,0,45.1664719808978,46.1307228368709,0.02,0.151271917515544,0.5,0.179454908897432,600,sim_study_2
10,208,-8693.59789231816,15,250,35000,0.8,1,0,25.6106425244812,0.556026793707446,0,43.0806096239915,58.5673215918976,0.02,0.13762360862859,0.5,0.172538093244343,700,sim_study_2
10,208,-8667.5040116193,15,250,35000,0.8,1,0,24.2311506153642,0.499546692676925,0,43.2134990981223,63.200232364274,0.02,0.13205037405233,0.5,0.179952143326948,500,sim_study_2
10,208,-8689.39332384209,15,250,35000,0.8,1,0,23.8425399221011,0.582787939452661,0,46.7467558531077,50.949779412856,0.02,0.147129006090882,0.5,0.180710571520819,1000,sim_study_2
10,208,-8695.8312371397,15,250,35000,0.8,1,0,23.1624166408396,0.521900517058723,0,72.4018252247793,40.8465552637529,0.02,0.130817701172794,0.5,0.17963644269989,800,sim_study_2
10,208,-8665.55780248895,15,250,35000,0.8,1,0,29.8537437801619,0.508965903612209,0,50.8041122306651,47.1919279662327,0.02,0.133697795984253,0.5,0.168165841470372,400,sim_study_2
10,208,-8724.54767590899,15,250,35000,0.8,1,0,21.332837776164,0.458841154232065,0,59.6342086996535,54.8422835234587,0.02,0.12423529360019,0.5,0.173797537227258,1100,sim_study_2
10,208,-8678.3330424309,15,250,35000,0.8,1,0,23.3657463435173,0.460009399097699,0,41.0853259711193,116.516453856175,0.02,0.108444031276367,0.5,0.184007733831967,400,sim_study_2
10,208,-8671.57029731846,15,250,35000,0.8,1,0,37.2887592185086,0.554597183707981,0,39.8918038898319,55.3430144991603,0.02,0.133777939012262,0.5,0.186880955116683,200,sim_study_2
10,208,-8696.50960156213,15,250,35000,0.8,1,0,23.8273717158034,0.572903349707123,0,52.2185501324986,48.6843859990602,0.02,0.138687481671735,0.5,0.177398352683945,1000,sim_study_2
10,208,-8714.52080128861,15,250,35000,0.8,1,0,22.752091972578,0.526387885608603,0,52.3881611574321,45.498493439049,0.02,0.144464356782999,0.5,0.172906551264807,900,sim_study_2
10,208,-8673.58086311393,15,250,35000,0.8,1,0,24.1755937396699,0.4738078359366,0,70.7962097435483,44.4391171990773,0.02,0.121598026726303,0.5,0.181210207061889,400,sim_study_2
10,208,-8673.40525604242,15,250,35000,0.8,1,0,27.3305335472614,0.534068254856305,0,52.1213795123162,48.3163434692643,0.02,0.133689654443281,0.5,0.167610539441482,600,sim_study_2
10,208,-8672.52788176426,15,250,35000,0.8,1,0,26.8112570611417,0.584506937345633,0,56.1278496671589,45.0078131915343,0.02,0.13943400315002,0.5,0.172516436035778,600,sim_study_2
10,208,-8696.75901879109,15,250,35000,0.8,1,0,24.5193308479922,0.545646301248925,0,39.4279098399169,63.5284159680181,0.02,0.143011810843921,0.5,0.171909366402721,800,sim_study_2
10,208,-8668.06939925504,15,250,35000,0.8,1,0,26.8045165574555,0.517987204467763,0,47.7026181631631,50.8758425881542,0.02,0.134442428268628,0.5,0.177015524895842,500,sim_study_2
10,208,-8745.64570061105,15,250,35000,0.8,1,0,21.1674781406465,0.471051781996332,0,52.1750501174594,61.6852191545036,0.02,0.130477239581932,0.5,0.182757164915739,1100,sim_study_2
10,208,-8676.47532167645,15,250,35000,0.8,1,0,25.3212642598873,0.561004951967177,0,50.1460847668638,45.0280085094646,0.02,0.151037895143655,0.5,0.173221372842159,1000,sim_study_2
10,208,-8714.37740901737,15,250,35000,0.8,1,0,22.0091013296976,0.464288002993489,0,65.8226377739903,43.8522059928852,0.02,0.12965349823243,0.5,0.185402289776018,700,sim_study_2
10,208,-8707.35122898374,15,250,35000,0.8,1,0,20.8423574034885,0.504262836584758,0,64.3683927410571,45.5303644003005,0.02,0.130301117384106,0.5,0.174058903167267,900,sim_study_2
10,208,-8718.57488358335,15,250,35000,0.8,1,0,45.8822094573122,0.557676517534847,0,47.2456401721969,45.0835529342662,0.02,0.122140391139126,0.5,0.200221722184214,50,sim_study_2
10,208,-8702.63713287978,15,250,35000,0.8,1,0,34.984160444189,0.491325881862592,0,46.8045324250052,51.6418338622248,0.02,0.11003198692361,0.5,0.198442766945168,50,sim_study_2
10,208,-8687.14793306825,15,250,35000,0.8,1,0,37.4172144039578,0.520505786858636,0,37.662843827115,69.3139069568894,0.02,0.12216906118748,0.5,0.19723075892039,100,sim_study_2
10,208,-8682.47837568464,15,250,35000,0.8,1,0,34.0915990700735,0.541078166887973,0,47.8187132935627,45.4999116155017,0.02,0.129729539874255,0.5,0.191204612978953,150,sim_study_2
10,208,-8710.09129282594,15,250,35000,0.8,1,0,36.5774983892561,0.646984184868399,0,43.4621856605612,37.0175215422627,0.02,0.145813857547178,0.5,0.203155655504584,50,sim_study_2
10,208,-8678.78116828265,15,250,35000,0.8,1,0,37.3348524567676,0.56825049917925,0,47.0546398205962,45.1425915278227,0.02,0.127183474658118,0.5,0.188608397061599,100,sim_study_2
10,208,-8682.09380273324,15,250,35000,0.8,1,0,35.4725946812866,0.55156539255998,0,41.9531938738726,51.3236441408953,0.02,0.135202352995649,0.5,0.188894048207373,150,sim_study_2
10,208,-8672.16563745819,15,250,35000,0.8,1,0,30.6130577685078,0.531238838221697,0,51.564077080078,49.578552649217,0.02,0.120345227939131,0.5,0.185712803954647,150,sim_study_2
10,208,-8681.88428294066,15,250,35000,0.8,1,0,34.0629194448125,0.522561059856425,0,48.8503616679098,51.7127623931444,0.02,0.11088612071448,0.5,0.188813301043427,100,sim_study_2
20,208,-16655.9621666771,15,250,30000,0.8,1,0,45.2670256850093,0.486920237602253,0,49.8169452689206,38.4660596064726,0.02,0.132439561422791,0.5,0.219896803327717,50,sim_study_3
20,208,-16431.8369302025,15,250,30000,0.8,1,0,40.3784289165876,0.449471766775608,0,40.297162073872,71.9793107817976,0.02,0.123903638450166,0.5,0.208448828349086,200,sim_study_3
20,208,-16532.4801168487,15,250,30000,0.8,1,0,41.6731298649856,0.500783394152737,0,37.7268299525605,62.274784578951,0.02,0.137616332790863,0.5,0.195258399114999,100,sim_study_3
20,208,-16453.1520714678,15,250,30000,0.8,1,0,31.6354878071454,0.504216582343218,0,60.7371609463047,39.2236061341879,0.02,0.149407360797727,0.5,0.193686908757852,600,sim_study_3
20,208,-16443.2340374379,15,250,30000,0.8,1,0,29.5024114857396,0.398343868559815,0,46.8204482244832,64.0303201444661,0.02,0.12355605039752,0.5,0.191645037727945,300,sim_study_3
20,208,-16459.2680314524,15,250,30000,0.8,1,0,28.3234551431396,0.481399363265748,0,52.5985350943625,51.0343106693424,0.02,0.148114901339484,0.5,0.178462808491904,800,sim_study_3
20,208,-16457.6945148473,15,250,30000,0.8,1,0,27.6414487940683,0.443151302506052,0,51.1662209683435,45.5987663449426,0.02,0.160579275844772,0.5,0.171623144312459,900,sim_study_3
20,208,-16465.8392281791,15,250,30000,0.8,1,0,25.4846693024397,0.4827088903265,0,53.6769528718528,41.7668890568824,0.02,0.160272573437291,0.5,0.186927532696261,1000,sim_study_3
20,208,-16455.0666590467,15,250,30000,0.8,1,0,32.1841402724275,0.485267685767419,0,49.4920880615189,46.6785180921024,0.02,0.148601120886839,0.5,0.19313340792895,700,sim_study_3
20,208,-16429.9103275808,15,250,30000,0.8,1,0,32.5623068704321,0.426408843290906,0,63.6207596792974,53.1854183083919,0.02,0.116395315819478,0.5,0.189209388339454,400,sim_study_3
20,208,-16422.2816991285,15,250,30000,0.8,1,0,30.8761738456697,0.425080856923408,0,60.3280433199993,48.9667803780425,0.02,0.133011046062416,0.5,0.192349452904052,500,sim_study_3
20,208,-16540.0157339983,15,250,30000,0.8,1,0,51.6236395117801,0.548345893286062,0,46.8608081857091,39.68159276107,0.02,0.127117018630213,0.5,0.219843001440372,50,sim_study_3
20,208,-16447.4837755554,15,250,30000,0.8,1,0,30.3700850644859,0.389106988934109,0,44.7162477329206,77.3226206368955,0.02,0.118738370900295,0.5,0.187341802109818,300,sim_study_3
20,208,-16477.8440460222,15,250,30000,0.8,1,0,43.8148482964768,0.469342465376567,0,44.3478966756584,51.9874910642203,0.02,0.131893505449938,0.5,0.197539996761162,100,sim_study_3
20,208,-16480.8920323947,15,250,30000,0.8,1,0,29.2214923135482,0.547761736419021,0,51.6973995700324,41.9334515647421,0.02,0.163022652869537,0.5,0.179462418977195,1100,sim_study_3
20,208,-16460.6501336759,15,250,30000,0.8,1,0,39.7555433428338,0.472705458202721,0,42.1127482620915,59.6884489905016,0.02,0.132825662476328,0.5,0.197161986288739,200,sim_study_3
20,208,-16447.6773300411,15,250,30000,0.8,1,0,34.1036097639486,0.530672925791687,0,49.5030260521193,44.4030213702056,0.02,0.155010877148555,0.5,0.195589755168566,400,sim_study_3
20,208,-16458.6445720508,15,250,30000,0.8,1,0,29.3568309304776,0.53963615105475,0,55.4243676398843,40.2142470952595,0.02,0.161224488220102,0.5,0.187652276568442,900,sim_study_3
20,208,-16446.0249981983,15,250,30000,0.8,1,0,32.4675714780599,0.525516618447681,0,52.3316427753014,41.0549924003211,0.02,0.160501849617249,0.5,0.187250372234432,800,sim_study_3
20,208,-16447.4837755554,15,250,30000,0.8,1,0,30.3700850644859,0.389106988934109,0,44.7162477329206,77.3226206368955,0.02,0.118738370900295,0.5,0.187341802109818,300,sim_study_3
20,208,-16540.0157339983,15,250,30000,0.8,1,0,51.6236395117801,0.548345893286062,0,46.8608081857091,39.68159276107,0.02,0.127117018630213,0.5,0.219843001440372,50,sim_study_3
20,208,-16453.6685560819,15,250,30000,0.8,1,0,28.9657245455149,0.484080008497947,0,49.7112182111038,52.7834245956244,0.02,0.153851632049971,0.5,0.175294283928898,1000,sim_study_3
20,208,-16448.2772551034,15,250,30000,0.8,1,0,33.1064777190437,0.544232342230517,0,48.4928681755966,42.7632671988258,0.02,0.153507634126468,0.5,0.206029422262551,500,sim_study_3
20,208,-16451.036662926,15,250,30000,0.8,1,0,36.2935018930741,0.493071851351793,0,47.2726660472806,48.3116798957245,0.02,0.144268340050349,0.5,0.188238573696796,300,sim_study_3
20,208,-16439.7919280983,15,250,30000,0.8,1,0,31.5342067766006,0.451525982723048,0,46.9538119004311,61.856360082265,0.02,0.13269302424551,0.5,0.19241133025983,400,sim_study_3
20,208,-16533.2092727904,15,250,30000,0.8,1,0,41.8518867506681,0.53469630803638,0,41.6188817354262,44.2064238296097,0.02,0.134483572425541,0.5,0.215080899550066,50,sim_study_3
20,208,-16440.7867351283,15,250,30000,0.8,1,0,30.3336431278159,0.48755047578847,0,48.2367433423217,47.3574588283998,0.02,0.155775012729064,0.5,0.17887753721706,500,sim_study_3
20,208,-16480.8920323947,15,250,30000,0.8,1,0,29.2214923135482,0.547761736419021,0,51.6973995700324,41.9334515647421,0.02,0.163022652869537,0.5,0.179462418977195,1100,sim_study_3
20,208,-16477.8440460222,15,250,30000,0.8,1,0,43.8148482964768,0.469342465376567,0,44.3478966756584,51.9874910642203,0.02,0.131893505449938,0.5,0.197539996761162,100,sim_study_3
20,208,-16486.6204862192,15,250,30000,0.8,1,0,33.0381935360412,0.460359450507252,0,41.7107129042628,71.9921049096839,0.02,0.124148709166769,0.5,0.194539298878386,200,sim_study_3
20,208,-16568.5913164616,15,250,30000,0.8,1,0,53.0499070828144,0.47022645307577,0,42.1249340974987,51.2116576926351,0.02,0.135440773581686,0.5,0.202445147674063,100,sim_study_3
20,208,-16447.6773300411,15,250,30000,0.8,1,0,34.1036097639486,0.530672925791687,0,49.5030260521193,44.4030213702056,0.02,0.155010877148555,0.5,0.195589755168566,400,sim_study_3
20,208,-16436.9345319309,15,250,30000,0.8,1,0,30.2104027332015,0.43068605667625,0,48.8808983831146,64.2042331870897,0.02,0.13254591983465,0.5,0.182712856876741,700,sim_study_3
20,208,-16469.4358175446,15,250,30000,0.8,1,0,26.1586379466278,0.45909990332909,0,59.6759229655265,40.9042949701395,0.02,0.159886192526247,0.5,0.172954219121487,1100,sim_study_3
20,208,-16444.2514825999,15,250,30000,0.8,1,0,30.4852700831929,0.483662156999679,0,51.3583733248301,45.118582998753,0.02,0.152101249847911,0.5,0.186302607093511,600,sim_study_3
20,208,-16460.6501336759,15,250,30000,0.8,1,0,39.7555433428338,0.472705458202721,0,42.1127482620915,59.6884489905016,0.02,0.132825662476328,0.5,0.197161986288739,200,sim_study_3
